	ab	abmainrel	absubrel	abtag	cd	cdmainrel	cdsubrel	cdtag	chunks	match	probe	probearr	probecorr	proberesp	trialtag	trialtype
0	0	None	None	None	1	2	6	enthusiastic:lazy	8	0	0	0	0	0	acceleration:speed::enthusiastic:lazy	CD
1	1	1	3	acceleration:speed	0	None	None	None	8	None	0	0	0	0	acceleration:speed::enthusiastic:lazy	AB
2	0	1	3	acceleration:speed	0	2	6	enthusiastic:lazy	8	0	1	2	3	['3']	acceleration:speed::enthusiastic:lazy	Probe
3	0	None	None	None	1	1	3	inflation:price	5	1	0	0	0	0	acceleration:speed::inflation:price	CD
4	1	1	3	acceleration:speed	0	None	None	None	5	None	0	0	0	0	acceleration:speed::inflation:price	AB
5	0	1	3	acceleration:speed	0	1	3	inflation:price	5	1	1	1	3	['4']	acceleration:speed::inflation:price	Probe
6	0	None	None	None	1	1	2	chair:sofa	3	0	0	0	0	0	accept:reject::chair:sofa	CD
7	1	2	4	accept:reject	0	None	None	None	3	None	0	0	0	0	accept:reject::chair:sofa	AB
8	0	2	4	accept:reject	0	1	2	chair:sofa	3	0	1	1	4	['4']	accept:reject::chair:sofa	Probe
9	0	None	None	None	1	1	3	lower:volume	1	0	0	0	0	0	accept:reject::lower:volume	CD
10	1	2	4	accept:reject	0	None	None	None	1	None	0	0	0	0	accept:reject::lower:volume	AB
11	0	2	4	accept:reject	0	1	3	lower:volume	1	0	1	2	3	['3']	accept:reject::lower:volume	Probe
12	0	None	None	None	1	3	7	germs:sickness	6	1	0	0	0	0	accident:damage::germs:sickness	CD
13	1	3	7	accident:damage	0	None	None	None	6	None	0	0	0	0	accident:damage::germs:sickness	AB
14	0	3	7	accident:damage	0	3	7	germs:sickness	6	1	1	2	4	['4']	accident:damage::germs:sickness	Probe
15	0	None	None	None	1	1	1	make:manufacture	8	0	0	0	0	0	accident:damage::make:manufacture	CD
16	1	3	7	accident:damage	0	None	None	None	8	None	0	0	0	0	accident:damage::make:manufacture	AB
17	0	3	7	accident:damage	0	1	1	make:manufacture	8	0	1	1	4	['4']	accident:damage::make:manufacture	Probe
18	0	None	None	None	1	1	2	paper:parchment	6	0	0	0	0	0	advertise:promote::paper:parchment	CD
19	1	3	9	advertise:promote	0	None	None	None	6	None	0	0	0	0	advertise:promote::paper:parchment	AB
20	0	3	9	advertise:promote	0	1	2	paper:parchment	6	0	1	2	3	['4']	advertise:promote::paper:parchment	Probe
21	0	None	None	None	1	3	9	wash:clean	8	1	0	0	0	0	advertise:promote::wash:clean	CD
22	1	3	9	advertise:promote	0	None	None	None	8	None	0	0	0	0	advertise:promote::wash:clean	AB
23	0	3	9	advertise:promote	0	3	9	wash:clean	8	1	1	1	3	['3']	advertise:promote::wash:clean	Probe
24	0	None	None	None	1	3	7	bath:cleanliness	2	0	0	0	0	0	ahead:behind::bath:cleanliness	CD
25	1	2	5	ahead:behind	0	None	None	None	2	None	0	0	0	0	ahead:behind::bath:cleanliness	AB
