Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0347	2.0086	accept:reject::chair:sofa	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
5.8010	2.0087	accept:reject::chair:sofa	None	chair:sofa	0	None	1	None	2	0	0	0	0	1	0
8.6923	1.6055	accept:reject::chair:sofa	accept:reject	chair:sofa	0	2	1	4	2	['l']	l	1	0	0	1
11.3254	2.0112	in:out::loneliness:socialize	in:out	None	None	2	None	5	None	0	0	0	1	0	0
13.9849	2.0085	in:out::loneliness:socialize	None	loneliness:socialize	0	None	3	None	8	0	0	0	0	1	0
16.6831	0.4832	in:out::loneliness:socialize	in:out	loneliness:socialize	0	2	3	5	8	['a']	l	1	0	0	1
18.2141	2.0051	dim:light::coldness:shiver	dim:light	None	None	1	None	3	None	0	0	0	1	0	0
20.7733	2.0090	dim:light::coldness:shiver	None	coldness:shiver	0	None	3	None	8	0	0	0	0	1	0
23.6664	0.7076	dim:light::coldness:shiver	dim:light	coldness:shiver	0	1	3	3	8	['a']	a	2	0	0	1
25.3918	2.0007	east:west::front:back	east:west	None	None	2	None	5	None	0	0	0	1	0	0
28.4951	2.0122	east:west::front:back	None	front:back	1	None	2	None	5	0	0	0	0	1	0
32.7414	0.5589	east:west::front:back	east:west	front:back	1	2	2	5	5	['a']	a	1	0	0	1
34.3203	2.0134	black:white::pretty:ugly	black:white	None	None	2	None	4	None	0	0	0	1	0	0
37.1624	2.0156	black:white::pretty:ugly	None	pretty:ugly	1	None	2	None	4	0	0	0	0	1	0
40.4007	0.7437	black:white::pretty:ugly	black:white	pretty:ugly	1	2	2	4	4	['l']	l	2	0	0	1
42.1655	2.0074	exercise:healthy::burnish:shine	exercise:healthy	None	None	3	None	9	None	0	0	0	1	0	0
44.9291	2.0063	exercise:healthy::burnish:shine	None	burnish:shine	1	None	3	None	9	0	0	0	0	1	0
48.0326	1.6392	exercise:healthy::burnish:shine	exercise:healthy	burnish:shine	1	3	3	9	9	['l']	l	2	0	0	1
50.7027	2.0147	tragedy:tears::rich:poor	tragedy:tears	None	None	3	None	7	None	0	0	0	1	0	0
53.5504	2.0157	tragedy:tears::rich:poor	None	rich:poor	0	None	2	None	4	0	0	0	0	1	0
56.5221	0.8235	tragedy:tears::rich:poor	tragedy:tears	rich:poor	0	3	2	7	4	['a']	a	2	0	0	1
58.3642	2.0150	option:choice::high:down	option:choice	None	None	1	None	1	None	0	0	0	1	0	0
61.9429	2.0154	option:choice::high:down	None	high:down	0	None	2	None	6	0	0	0	0	1	0
64.6646	0.5912	option:choice::high:down	option:choice	high:down	0	1	2	1	6	['a']	a	2	0	0	1
66.2870	2.0007	up:down::fire:burns	up:down	None	None	2	None	5	None	0	0	0	1	0	0
68.8504	2.0004	up:down::fire:burns	None	fire:burns	0	None	3	None	7	0	0	0	0	1	0
72.1987	0.8516	up:down::fire:burns	up:down	fire:burns	0	2	3	5	7	['l']	l	1	0	0	1
74.0593	2.0095	ladder:stairs::table:desk	ladder:stairs	None	None	1	None	2	None	0	0	0	1	0	0
76.9439	1.9962	ladder:stairs::table:desk	None	table:desk	1	None	1	None	2	0	0	0	0	1	0
80.1769	0.6305	ladder:stairs::table:desk	ladder:stairs	table:desk	1	1	1	2	2	['a']	a	1	0	0	1
81.8348	2.0075	tiredness:rest::big:large	tiredness:rest	None	None	3	None	8	None	0	0	0	1	0	0
85.6084	2.0006	tiredness:rest::big:large	None	big:large	0	None	1	None	1	0	0	0	0	1	0
88.1659	0.6895	tiredness:rest::big:large	tiredness:rest	big:large	0	3	1	8	1	['l']	l	1	0	0	1
89.8835	2.0150	run:sprint::study:learn	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
92.5146	2.0047	run:sprint::study:learn	None	study:learn	0	None	3	None	9	0	0	0	0	1	0
95.3815	0.9835	run:sprint::study:learn	run:sprint	study:learn	0	1	3	1	9	['a']	a	2	0	0	1
97.3958	2.0151	fright:scream::heat:sweat	fright:scream	None	None	3	None	8	None	0	0	0	1	0	0
100.0833	2.0005	fright:scream::heat:sweat	None	heat:sweat	1	None	3	None	8	0	0	0	0	1	0
102.8209	0.4724	fright:scream::heat:sweat	fright:scream	heat:sweat	1	3	3	8	8	['a']	a	1	0	0	1
104.3180	2.0007	boat:ship::pants:trousers	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
107.4342	2.0082	boat:ship::pants:trousers	None	pants:trousers	1	None	1	None	1	0	0	0	0	1	0
110.2585	0.6904	boat:ship::pants:trousers	boat:ship	pants:trousers	1	1	1	1	1	['a']	a	1	0	0	1
111.9773	2.0003	stimulus:response::joke:laughter	stimulus:response	None	None	3	None	7	None	0	0	0	1	0	0
114.6504	2.0151	stimulus:response::joke:laughter	None	joke:laughter	1	None	3	None	7	0	0	0	0	1	0
117.6839	0.5980	stimulus:response::joke:laughter	stimulus:response	joke:laughter	1	3	3	7	7	['a']	a	1	0	0	1
119.3067	2.0005	rise:sink::under:over	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0
123.1515	2.0003	rise:sink::under:over	None	under:over	1	None	2	None	5	0	0	0	0	1	0
126.0607	0.6056	rise:sink::under:over	rise:sink	under:over	1	2	2	5	5	['a']	a	1	0	0	1
127.6869	2.0129	sickness:medicate::danger:flee	sickness:medicate	None	None	3	None	8	None	0	0	0	1	0	0
130.4668	2.0152	sickness:medicate::danger:flee	None	danger:flee	1	None	3	None	8	0	0	0	0	1	0
133.2038	1.4244	sickness:medicate::danger:flee	sickness:medicate	danger:flee	1	3	3	8	8	['l']	l	2	0	0	1
135.6594	2.0114	pillow:cushion::rake:fork	pillow:cushion	None	None	1	None	2	None	0	0	0	1	0	0
139.2811	1.9997	pillow:cushion::rake:fork	None	rake:fork	1	None	1	None	2	0	0	0	0	1	0
142.3963	0.5372	pillow:cushion::rake:fork	pillow:cushion	rake:fork	1	1	1	2	2	['l']	l	2	0	0	1
143.9577	2.0150	thirsty:drink::fence:hedge	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
147.0199	1.9874	thirsty:drink::fence:hedge	None	fence:hedge	0	None	1	None	2	0	0	0	0	1	0
150.5620	0.5593	thirsty:drink::fence:hedge	thirsty:drink	fence:hedge	0	3	1	8	2	['a']	a	2	0	0	1
152.1489	2.0107	spin:twirl::house:home	spin:twirl	None	None	1	None	1	None	0	0	0	1	0	0
155.2591	2.0102	spin:twirl::house:home	None	house:home	1	None	1	None	1	0	0	0	0	1	0
158.8975	0.4715	spin:twirl::house:home	spin:twirl	house:home	1	1	1	1	1	['a']	a	1	0	0	1
160.3971	2.0142	disease:sickness::injury:pain	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
164.4596	2.0154	disease:sickness::injury:pain	None	injury:pain	1	None	3	None	7	0	0	0	0	1	0
167.2595	1.6930	disease:sickness::injury:pain	disease:sickness	injury:pain	1	3	3	7	7	['a']	a	1	0	0	1
169.9778	2.0145	ignite:burn::majority:small	ignite:burn	None	None	3	None	9	None	0	0	0	1	0	0
172.9614	2.0022	ignite:burn::majority:small	None	majority:small	0	None	2	None	6	0	0	0	0	1	0
175.7474	0.7626	ignite:burn::majority:small	ignite:burn	majority:small	0	3	2	9	6	['l']	l	1	0	0	1
177.5271	2.0155	trim:shorten::high:low	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
180.1524	2.0006	trim:shorten::high:low	None	high:low	0	None	2	None	5	0	0	0	0	1	0
182.8291	0.8681	trim:shorten::high:low	trim:shorten	high:low	0	3	2	9	5	['a']	a	2	0	0	1
184.7176	2.0145	loud:discreet::picture:drawing	loud:discreet	None	None	2	None	6	None	0	0	0	1	0	0
188.1261	2.0134	loud:discreet::picture:drawing	None	picture:drawing	0	None	1	None	2	0	0	0	0	1	0
190.7830	0.9220	loud:discreet::picture:drawing	loud:discreet	picture:drawing	0	2	1	6	2	['a']	a	2	0	0	1
192.7364	2.0047	fast:slow::bright:dark	fast:slow	None	None	2	None	4	None	0	0	0	1	0	0
196.7422	2.0113	fast:slow::bright:dark	None	bright:dark	1	None	2	None	4	0	0	0	0	1	0
200.0695	0.8266	fast:slow::bright:dark	fast:slow	bright:dark	1	2	2	4	4	['l']	l	2	0	0	1
201.9310	2.0108	force:pressure::speed:movement	force:pressure	None	None	1	None	3	None	0	0	0	1	0	0
204.7094	2.0153	force:pressure::speed:movement	None	speed:movement	1	None	1	None	3	0	0	0	0	1	0
207.3829	0.9445	force:pressure::speed:movement	force:pressure	speed:movement	1	1	1	3	3	['l']	l	2	0	0	1
209.3381	2.0141	death:population::flood:water	death:population	None	None	1	None	3	None	0	0	0	1	0	0
212.2906	1.9964	death:population::flood:water	None	flood:water	1	None	1	None	3	0	0	0	0	1	0
215.0248	2.4360	death:population::flood:water	death:population	flood:water	1	1	1	3	3	['l']	l	2	0	0	1
218.4905	2.0006	rise:tide::left:right	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
221.0224	2.0023	rise:tide::left:right	None	left:right	0	None	2	None	5	0	0	0	0	1	0
223.6838	0.8380	rise:tide::left:right	rise:tide	left:right	0	1	2	3	5	['a']	a	2	0	0	1
225.5419	2.0151	hill:mountain::anger:yell	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
228.2140	2.0154	hill:mountain::anger:yell	None	anger:yell	0	None	3	None	8	0	0	0	0	1	0
230.7940	0.9874	hill:mountain::anger:yell	hill:mountain	anger:yell	0	1	3	2	8	['a']	l	1	0	0	1
232.8085	2.0039	day:evening::happiness:smile	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
236.8929	2.0155	day:evening::happiness:smile	None	happiness:smile	0	None	3	None	8	0	0	0	0	1	0
239.5672	1.4419	day:evening::happiness:smile	day:evening	happiness:smile	0	2	3	6	8	['a']	l	1	0	0	1
242.0386	2.0005	warm:cool::read:learn	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
245.3990	1.9916	warm:cool::read:learn	None	read:learn	0	None	3	None	9	0	0	0	0	1	0
248.1161	1.4161	warm:cool::read:learn	warm:cool	read:learn	0	2	3	4	9	['a']	a	2	0	0	1
250.5661	2.0132	repetition:boredom::below:above	repetition:boredom	None	None	3	None	7	None	0	0	0	1	0	0
253.3302	2.0040	repetition:boredom::below:above	None	below:above	0	None	2	None	5	0	0	0	0	1	0
256.2443	0.9025	repetition:boredom::below:above	repetition:boredom	below:above	0	3	2	7	5	['a']	a	2	0	0	1
258.1618	1.9986	low:up::good:wrong	low:up	None	None	2	None	6	None	0	0	0	1	0	0
261.9248	2.0155	low:up::good:wrong	None	good:wrong	1	None	2	None	6	0	0	0	0	1	0
264.4593	0.6120	low:up::good:wrong	low:up	good:wrong	1	2	2	6	6	['l']	l	2	0	0	1
266.0995	2.0134	right:bad::obey:protest	right:bad	None	None	2	None	6	None	0	0	0	1	0	0
269.6009	2.0082	right:bad::obey:protest	None	obey:protest	1	None	2	None	6	0	0	0	0	1	0
272.7130	0.5114	right:bad::obey:protest	right:bad	obey:protest	1	2	2	6	6	['a']	a	1	0	0	1
274.2429	2.0005	pencil:pen::north:south	pencil:pen	None	None	1	None	2	None	0	0	0	1	0	0
277.3064	2.0157	pencil:pen::north:south	None	north:south	0	None	2	None	5	0	0	0	0	1	0
279.9182	0.5721	pencil:pen::north:south	pencil:pen	north:south	0	1	2	2	5	['l']	l	1	0	0	1
281.5102	2.0005	sleep:rest::advertise:promote	sleep:rest	None	None	3	None	9	None	0	0	0	1	0	0
286.3893	2.0136	sleep:rest::advertise:promote	None	advertise:promote	1	None	3	None	9	0	0	0	0	1	0
289.7195	0.4313	sleep:rest::advertise:promote	sleep:rest	advertise:promote	1	3	3	9	9	['a']	a	1	0	0	1
