Onset	Duration	TrialTag	ABTag	CDTag	Match	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeResp	ProbeCorr	ProbeArr	AB	CD	Probe
3.0162	2.0129	work:earn::stairs:ladder	work:earn	None	None	3	None	9	None	0	0	0	1	0	0
6.0444	2.0179	work:earn::stairs:ladder	None	stairs:ladder	0	None	1	None	2	0	0	0	0	1	0
9.1063	2.1902	work:earn::stairs:ladder	work:earn	stairs:ladder	0	3	1	9	2	['l']	l	1	0	0	1
12.3163	2.0130	rise:tide::dirty:clean	rise:tide	None	None	1	None	3	None	0	0	0	1	0	0
15.3378	2.0084	rise:tide::dirty:clean	None	dirty:clean	0	None	2	None	4	0	0	0	0	1	0
18.8103	1.0297	rise:tide::dirty:clean	rise:tide	dirty:clean	0	1	2	3	4	['l']	l	1	0	0	1
20.8501	2.0127	up:down::high:low	up:down	None	None	2	None	5	None	0	0	0	1	0	0
25.1707	2.0092	up:down::high:low	None	high:low	1	None	2	None	5	0	0	0	0	1	0
28.3800	0.8732	up:down::high:low	up:down	high:low	1	2	2	5	5	['a']	a	1	0	0	1
30.2670	2.0124	boat:ship::big:large	boat:ship	None	None	1	None	1	None	0	0	0	1	0	0
32.8098	2.0036	boat:ship::big:large	None	big:large	1	None	1	None	1	0	0	0	0	1	0
36.0389	1.5647	boat:ship::big:large	boat:ship	big:large	1	1	1	1	1	['l']	l	2	0	0	1
38.6175	2.0133	tiredness:rest::dark:light	tiredness:rest	None	None	3	None	8	None	0	0	0	1	0	0
41.1574	2.0064	tiredness:rest::dark:light	None	dark:light	0	None	2	None	4	0	0	0	0	1	0
44.7349	0.7398	tiredness:rest::dark:light	tiredness:rest	dark:light	0	3	2	8	4	['a']	l	1	0	0	1
46.4849	2.0124	accept:reject::lower:volume	accept:reject	None	None	2	None	4	None	0	0	0	1	0	0
49.1464	2.0177	accept:reject::lower:volume	None	lower:volume	0	None	1	None	3	0	0	0	0	1	0
52.3305	1.0536	accept:reject::lower:volume	accept:reject	lower:volume	0	2	1	4	3	['a']	a	2	0	0	1
54.4009	2.0128	rise:sink::shovel:spoon	rise:sink	None	None	2	None	5	None	0	0	0	1	0	0
58.1881	2.0090	rise:sink::shovel:spoon	None	shovel:spoon	0	None	1	None	2	0	0	0	0	1	0
61.0406	2.0270	rise:sink::shovel:spoon	rise:sink	shovel:spoon	0	2	1	5	2	['a']	a	2	0	0	1
64.0847	2.0128	disease:sickness::flood:water	disease:sickness	None	None	3	None	7	None	0	0	0	1	0	0
66.6452	2.0022	disease:sickness::flood:water	None	flood:water	0	None	1	None	3	0	0	0	0	1	0
69.2420	1.6751	disease:sickness::flood:water	disease:sickness	flood:water	0	3	1	7	3	['a']	l	1	0	0	1
71.9342	2.0134	low:up::funny:serious	low:up	None	None	2	None	6	None	0	0	0	1	0	0
74.9253	2.0064	low:up::funny:serious	None	funny:serious	1	None	2	None	6	0	0	0	0	1	0
77.7241	1.0242	low:up::funny:serious	low:up	funny:serious	1	2	2	6	6	['a']	a	1	0	0	1
79.7691	2.0125	discount:price::heat:temperature	discount:price	None	None	1	None	3	None	0	0	0	1	0	0
82.9355	2.0125	discount:price::heat:temperature	None	heat:temperature	1	None	1	None	3	0	0	0	0	1	0
85.8886	1.0128	discount:price::heat:temperature	discount:price	heat:temperature	1	1	1	3	3	['a']	l	2	0	0	1
87.9183	2.0132	black:white::terror:fear	black:white	None	None	2	None	4	None	0	0	0	1	0	0
91.1659	2.0159	black:white::terror:fear	None	terror:fear	0	None	1	None	3	0	0	0	0	1	0
94.5538	1.0251	black:white::terror:fear	black:white	terror:fear	0	2	1	4	3	['a']	a	2	0	0	1
96.5863	2.0127	hill:mountain::danger:flee	hill:mountain	None	None	1	None	2	None	0	0	0	1	0	0
99.8366	2.0123	hill:mountain::danger:flee	None	danger:flee	0	None	3	None	8	0	0	0	0	1	0
102.9350	1.9622	hill:mountain::danger:flee	hill:mountain	danger:flee	0	1	3	2	8	['l']	l	1	0	0	1
105.9200	2.0118	stimulus:response::workout:sweat	stimulus:response	None	None	3	None	7	None	0	0	0	1	0	0
110.5280	2.0045	stimulus:response::workout:sweat	None	workout:sweat	1	None	3	None	7	0	0	0	0	1	0
113.6778	1.7342	stimulus:response::workout:sweat	stimulus:response	workout:sweat	1	3	3	7	7	['l']	l	2	0	0	1
116.4196	2.0126	run:sprint::under:over	run:sprint	None	None	1	None	1	None	0	0	0	1	0	0
119.9052	2.0107	run:sprint::under:over	None	under:over	0	None	2	None	5	0	0	0	0	1	0
123.4805	1.0881	run:sprint::under:over	run:sprint	under:over	0	1	2	1	5	['l']	l	1	0	0	1
125.5858	2.0137	wash:clean::cook:eat	wash:clean	None	None	3	None	9	None	0	0	0	1	0	0
128.3285	2.0047	wash:clean::cook:eat	None	cook:eat	1	None	3	None	9	0	0	0	0	1	0
131.1632	1.1644	wash:clean::cook:eat	wash:clean	cook:eat	1	3	3	9	9	['l']	l	2	0	0	1
133.3365	2.0130	warm:cool::hot:cold	warm:cool	None	None	2	None	4	None	0	0	0	1	0	0
136.0865	2.0130	warm:cool::hot:cold	None	hot:cold	1	None	2	None	4	0	0	0	0	1	0
139.0698	0.8472	warm:cool::hot:cold	warm:cool	hot:cold	1	2	2	4	4	['l']	l	2	0	0	1
140.9367	2.0137	loss:grief::fire:burns	loss:grief	None	None	3	None	7	None	0	0	0	1	0	0
143.5508	2.0161	loss:grief::fire:burns	None	fire:burns	1	None	3	None	7	0	0	0	0	1	0
146.1470	1.1374	loss:grief::fire:burns	loss:grief	fire:burns	1	3	3	7	7	['a']	a	1	0	0	1
148.3037	2.0131	pencil:pen::fence:hedge	pencil:pen	None	None	1	None	2	None	0	0	0	1	0	0
151.2960	2.0040	pencil:pen::fence:hedge	None	fence:hedge	1	None	1	None	2	0	0	0	0	1	0
154.1438	0.8658	pencil:pen::fence:hedge	pencil:pen	fence:hedge	1	1	1	2	2	['a']	a	1	0	0	1
156.0219	2.0124	pretty:beautiful::teach:instruct	pretty:beautiful	None	None	1	None	1	None	0	0	0	1	0	0
158.8461	2.0047	pretty:beautiful::teach:instruct	None	teach:instruct	1	None	1	None	1	0	0	0	0	1	0
162.6112	0.9659	pretty:beautiful::teach:instruct	pretty:beautiful	teach:instruct	1	1	1	1	1	['a']	l	2	0	0	1
164.5871	2.0140	day:evening::speak:express	day:evening	None	None	2	None	6	None	0	0	0	1	0	0
167.2387	2.0117	day:evening::speak:express	None	speak:express	0	None	3	None	9	0	0	0	0	1	0
170.4851	0.8844	day:evening::speak:express	day:evening	speak:express	0	2	3	6	9	['l']	l	1	0	0	1
172.3892	2.0124	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	None	None	2	None	6	None	0	0	0	1	0	0
175.0554	2.0124	enthusiastic:lazy::witty:dumb	None	witty:dumb	1	None	2	None	6	0	0	0	0	1	0
177.8820	2.0747	enthusiastic:lazy::witty:dumb	enthusiastic:lazy	witty:dumb	1	2	2	6	6	['a']	l	2	0	0	1
180.9718	2.0121	powerful:meek::rake:fork	powerful:meek	None	None	2	None	6	None	0	0	0	1	0	0
183.5294	2.0055	powerful:meek::rake:fork	None	rake:fork	0	None	1	None	2	0	0	0	0	1	0
186.3561	0.9300	powerful:meek::rake:fork	powerful:meek	rake:fork	0	2	1	6	2	['a']	a	2	0	0	1
188.3051	2.0133	drink:hydrate::house:home	drink:hydrate	None	None	3	None	9	None	0	0	0	1	0	0
190.9624	2.0056	drink:hydrate::house:home	None	house:home	0	None	1	None	1	0	0	0	0	1	0
194.1831	1.0660	drink:hydrate::house:home	drink:hydrate	house:home	0	3	1	9	1	['a']	a	2	0	0	1
196.2557	2.0128	good:bad::tall:short	good:bad	None	None	2	None	4	None	0	0	0	1	0	0
198.9204	2.0147	good:bad::tall:short	None	tall:short	1	None	2	None	4	0	0	0	0	1	0
202.4119	1.0290	good:bad::tall:short	good:bad	tall:short	1	2	2	4	4	['l']	l	2	0	0	1
204.4555	2.0136	thirsty:drink::anger:yell	thirsty:drink	None	None	3	None	8	None	0	0	0	1	0	0
207.6076	2.0115	thirsty:drink::anger:yell	None	anger:yell	1	None	3	None	8	0	0	0	0	1	0
211.3023	1.6720	thirsty:drink::anger:yell	thirsty:drink	anger:yell	1	3	3	8	8	['l']	a	1	0	0	1
213.9892	2.0132	dim:light::joke:laughter	dim:light	None	None	1	None	3	None	0	0	0	1	0	0
219.7249	2.0106	dim:light::joke:laughter	None	joke:laughter	0	None	3	None	7	0	0	0	0	1	0
222.7101	0.9956	dim:light::joke:laughter	dim:light	joke:laughter	0	1	3	3	7	['a']	a	2	0	0	1
224.7231	2.0130	sword:knife::accident:damage	sword:knife	None	None	1	None	2	None	0	0	0	1	0	0
227.8394	2.0130	sword:knife::accident:damage	None	accident:damage	0	None	3	None	7	0	0	0	0	1	0
231.2451	1.7560	sword:knife::accident:damage	sword:knife	accident:damage	0	1	3	2	7	['l']	l	1	0	0	1
234.0230	2.0138	dirtiness:bathe::front:back	dirtiness:bathe	None	None	3	None	8	None	0	0	0	1	0	0
239.2803	2.0058	dirtiness:bathe::front:back	None	front:back	0	None	2	None	5	0	0	0	0	1	0
241.8596	0.9988	dirtiness:bathe::front:back	dirtiness:bathe	front:back	0	3	2	8	5	['l']	l	1	0	0	1
243.8740	2.0126	heater:warmth::climb:descend	heater:warmth	None	None	3	None	7	None	0	0	0	1	0	0
247.3329	2.0035	heater:warmth::climb:descend	None	climb:descend	0	None	2	None	5	0	0	0	0	1	0
251.3565	0.9416	heater:warmth::climb:descend	heater:warmth	climb:descend	0	3	2	7	5	['l']	l	1	0	0	1
253.3070	2.0132	paper:parchment::chair:sofa	paper:parchment	None	None	1	None	2	None	0	0	0	1	0	0
256.3671	2.0031	paper:parchment::chair:sofa	None	chair:sofa	1	None	1	None	2	0	0	0	0	1	0
259.2060	1.4452	paper:parchment::chair:sofa	paper:parchment	chair:sofa	1	1	1	2	2	['l']	l	2	0	0	1
261.6581	2.0126	nervousness:sweat::coldness:shiver	nervousness:sweat	None	None	3	None	8	None	0	0	0	1	0	0
264.4937	2.0102	nervousness:sweat::coldness:shiver	None	coldness:shiver	1	None	3	None	8	0	0	0	0	1	0
267.8985	0.8703	nervousness:sweat::coldness:shiver	nervousness:sweat	coldness:shiver	1	3	3	8	8	['l']	l	2	0	0	1
269.7906	2.0141	darken:color::soften:voice	darken:color	None	None	1	None	3	None	0	0	0	1	0	0
272.7582	2.0124	darken:color::soften:voice	None	soften:voice	1	None	1	None	3	0	0	0	0	1	0
275.4966	1.0455	darken:color::soften:voice	darken:color	soften:voice	1	1	1	3	3	['a']	a	1	0	0	1
277.5575	2.0135	in:out::left:right	in:out	None	None	2	None	5	None	0	0	0	1	0	0
281.0546	2.0164	in:out::left:right	None	left:right	1	None	2	None	5	0	0	0	0	1	0
283.7627	0.9059	in:out::left:right	in:out	left:right	1	2	2	5	5	['a']	a	1	0	0	1
285.6747	2.0132	cute:adorable::burnish:shine	cute:adorable	None	None	1	None	1	None	0	0	0	1	0	0
288.5734	2.0145	cute:adorable::burnish:shine	None	burnish:shine	0	None	3	None	9	0	0	0	0	1	0
291.1986	1.0632	cute:adorable::burnish:shine	cute:adorable	burnish:shine	0	1	3	1	9	['a']	a	2	0	0	1
293.2749	2.0134	east:west::car:auto	east:west	None	None	2	None	5	None	0	0	0	1	0	0
296.3607	2.0106	east:west::car:auto	None	car:auto	0	None	1	None	1	0	0	0	0	1	0
299.8723	1.1448	east:west::car:auto	east:west	car:auto	0	2	1	5	1	['a']	a	2	0	0	1
302.0255	2.0132	trim:shorten::study:learn	trim:shorten	None	None	3	None	9	None	0	0	0	1	0	0
304.6835	2.0053	trim:shorten::study:learn	None	study:learn	1	None	3	None	9	0	0	0	0	1	0
308.5099	0.9005	trim:shorten::study:learn	trim:shorten	study:learn	1	3	3	9	9	['a']	a	1	0	0	1
